Codigo,Nombre,Tipo,Cantidad,Precio,Minimo,ValorTotal,Año,Mes,Dia
P-0001,Escritorio Gaming Ergonómix Pro,Mobiliario,2,2098000,6,4196000,2020,Enero,29
P-0002,Mochila Laptop Belkin V2,Accesorio,12,164000,11,1968000,2003,Septiembre,2
P-0003,Proyector Asus Basic,Electrónico,0,5939000,11,0,2000,Abril,15
P-0004,Lápiz Digitalizador A4Tech Mini,Periférico,9,146000,9,1314000,2023,Febrero,30
P-0005,Funda Tablet AmazonBasics Elite,Accesorio,2,153000,7,306000,2008,Abril,26
P-0006,Funda Tablet Ugreen Plus,Accesorio,0,68000,8,0,2007,Diciembre,19
P-0007,Licencia Office 365 Autodesk X,Software,0,350000,14,0,2007,Julio,21
P-0008,Switch 24 puertos Cisco Slim,Red,13,1425000,3,18525000,2004,Agosto,7
P-0009,Silla Ergonómica ComfortPro X,Mobiliario,0,843000,13,0,2023,Septiembre,11
P-0010,Base Laptop Anker HD,Accesorio,4,129000,3,516000,2003,Abril,20
P-0011,Tarjeta SD Crucial Lite,Almacenamiento,10,123000,4,1230000,2021,Diciembre,16
P-0012,Base Laptop Ugreen V3,Accesorio,5,220000,3,1100000,2023,Agosto,17
P-0013,Firewall Hanwha Basic,Seguridad,44,3138000,9,138072000,2017,Noviembre,5
P-0014,Impresora Láser Xerox Max,Impresión,15,929000,5,13935000,2002,Diciembre,31
P-0015,NAS Server Crucial Plus,Almacenamiento,31,2064000,11,63984000,2018,Agosto,2
P-0016,Scanner Microsoft Mini,Periférico,0,1008000,9,0,2013,Agosto,15
P-0017,Teclado HyperX V3,Periférico,7,367000,10,2569000,2001,Enero,4
P-0018,Licencia Adobe CC ESET Mini,Software,9,1200000,5,10800000,2000,Febrero,26
P-0019,Patch Panel Zyxel Plus,Red,0,144000,15,0,2002,Mayo,29
P-0020,Escritorio Gaming FlexiDesk HD,Mobiliario,32,1973000,8,63136000,2006,Abril,27
P-0021,Tarjeta SD Transcend Lite,Almacenamiento,6,165000,6,990000,2007,Julio,11
P-0022,Hub USB-C Cable Matters Plus,Accesorio,11,369000,14,4059000,2016,Diciembre,23
P-0023,Disco HDD WD Ultra,Almacenamiento,12,372000,4,4464000,2019,Abril,3
P-0024,Patch Panel Netgear SE,Red,68,174000,15,11832000,2000,Mayo,17
P-0025,Escritorio Gaming ErgoChair X,Mobiliario,9,987000,4,8883000,2017,Noviembre,21
P-0026,Firewall Axis Slim,Seguridad,1,1804000,11,1804000,2006,Octubre,6
P-0027,Mouse Trust Slim,Periférico,1,257000,14,257000,2022,Junio,2
P-0028,Impresora Inkjet Lexmark Plus,Impresión,17,407000,13,6919000,2020,Agosto,8
P-0029,Funda Tablet Vention HD,Accesorio,9,77000,4,693000,2022,Septiembre,23
P-0030,Impresora 3D Lexmark 4K,Impresión,20,6469000,8,129380000,2017,Septiembre,15
P-0031,Cable DisplayPort Ugreen Mini,Accesorio,37,69000,9,2553000,2013,Junio,15
P-0032,Mouse HyperX Basic,Periférico,0,61000,7,0,2007,Julio,17
P-0033,UPS 1200VA CyberPower X,Energía,0,705000,2,0,2014,Diciembre,17
P-0034,Escritorio Gaming Ergonómix Basic,Mobiliario,3,718000,2,2154000,2018,Septiembre,20
P-0035,Patch Panel D-Link Ultra,Red,3,462000,9,1386000,2008,Junio,6
P-0036,Adaptador USB-C HDMI Vention X,Accesorio,18,95000,5,1710000,2025,Junio,12
P-0037,Lápiz Digitalizador Razer Plus,Periférico,34,258000,8,8772000,2000,Diciembre,12
P-0038,Switch 24 puertos TP-Link V2,Red,0,1988000,12,0,2024,Agosto,30
P-0039,NAS Server SanDisk HD,Almacenamiento,4,1647000,5,6588000,2025,Mayo,10
P-0040,Teclado Genius Elite,Periférico,2,222000,9,444000,2005,Mayo,13
P-0041,Switch 8 puertos Cisco Pro,Red,0,773000,15,0,2022,Mayo,14
P-0042,Proyector Asus Elite,Electrónico,34,5129000,9,174386000,2013,Abril,25
P-0043,Licencia Adobe CC Microsoft Elite,Software,6,1200000,2,7200000,2010,Febrero,11
P-0044,Mini PC Apple Ultra,Electrónico,63,1716000,13,108108000,2008,Diciembre,22
P-0045,UPS 1200VA Sola V3,Energía,1,978000,4,978000,2004,Abril,20
P-0046,Smartphone Toshiba V3,Electrónico,2,3120000,2,6240000,2006,Junio,2
P-0047,Smartphone Toshiba Lite,Electrónico,18,2959000,15,53262000,2024,Febrero,26
P-0048,Patch Panel Cisco 4K,Red,13,215000,3,2795000,2010,Diciembre,21
P-0049,Licencia Antivirus Adobe Mini,Software,10,181000,11,1810000,2003,Septiembre,21
P-0050,Tablet Toshiba Plus,Electrónico,45,1658000,12,74610000,2002,Diciembre,11
P-0051,Disco SSD Crucial Basic,Almacenamiento,2,521000,5,1042000,2012,Marzo,3
P-0052,Base Laptop Cable Matters Ultra,Accesorio,9,172000,7,1548000,2003,Abril,11
P-0053,Laptop Apple X,Electrónico,0,3806000,3,0,2011,Abril,4
P-0054,Scanner A4Tech Ultra,Periférico,35,485000,7,16975000,2011,Diciembre,18
P-0055,Impresora Inkjet Canon Ultra,Impresión,28,481000,9,13468000,2019,Agosto,22
P-0056,Silla Ergonómica DeskMate SE,Mobiliario,31,466000,12,14446000,2008,Mayo,13
P-0057,Mini PC Dell Slim,Electrónico,0,1125000,6,0,2025,Diciembre,10
P-0058,Cámara Web A4Tech Elite,Periférico,28,259000,6,7252000,2001,Octubre,9
P-0059,Disco HDD Kingston V2,Almacenamiento,8,474000,15,3792000,2023,Septiembre,24
P-0060,Impresora 3D Kyocera Pro,Impresión,29,2256000,12,65424000,2014,Octubre,28
P-0061,Tablet HP Max,Electrónico,22,1067000,12,23474000,2017,Mayo,22
P-0062,Mochila Laptop Orico SE,Accesorio,0,338000,10,0,2003,Febrero,31
P-0063,Smart TV Lenovo SE,Electrónico,50,1347000,15,67350000,2012,Abril,30
P-0064,Auriculares LG Elite,Electrónico,7,235000,6,1645000,2002,Mayo,20
P-0065,Licencia Adobe CC Autodesk Basic,Software,0,1200000,12,0,2017,Abril,28
P-0066,Limpiador Pantalla Vention Slim,Accesorio,26,38000,11,988000,2009,Junio,5
P-0067,Licencia Antivirus Adobe HD,Software,0,210000,8,0,2026,Marzo,11
P-0068,Mochila Laptop Ugreen HD,Accesorio,61,330000,14,20130000,2020,Mayo,3
P-0069,DVR 8 Canales Dahua Ultra,Seguridad,38,906000,14,34428000,2019,Enero,19
P-0070,Licencia Antivirus Microsoft 4K,Software,4,360000,5,1440000,2011,Diciembre,22
P-0071,Memoria RAM Crucial 4K,Almacenamiento,0,413000,5,0,2018,Septiembre,5
P-0072,Lápiz Digitalizador Genius Max,Periférico,0,161000,15,0,2006,Marzo,30
P-0073,Limpiador Pantalla Ugreen Max,Accesorio,29,44000,8,1276000,2022,Mayo,12
P-0074,Monitor Dell Slim,Electrónico,12,1134000,4,13608000,2002,Enero,10
